"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__JSON_Type__c","agentforce1__Length__c","agentforce1__Purpose_Description__c","agentforce1__Type__c","agentforce1__Mapped_sObject__r.agentforce1__External_Id__c"
"Description","65619838-8fd9-491d-bfa8-a74217067bc3","false","String","32000.0","","TEXTAREA","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f"
"Email","f5619fde-d7b3-47df-94e1-28cc226ae470","false","String","80.0","","EMAIL","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f"
"FirstName","ad0658c2-808f-41ae-88aa-1ebf11a035a0","false","String","40.0","","STRING","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f"
"LastName","a219121a-d27c-4173-a9d1-1c1feb468d67","false","String","80.0","","STRING","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f"
"AccountNumber","1e0c9c7e-89f6-47f0-b6b1-5420c6bdb13a","false","String","40.0","An account number. You can make this up. Don't make it too complex and make sure if you have multiple accounts they make sense.","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"ShippingCity","bb52c6b0-7039-4b6e-841a-1721745c95bc","false","String","40.0","The city part of the child account address","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"ShippingCountry","69772dcb-89f3-4a41-8a23-1d550c69d843","false","String","80.0","The country part of the child account address","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"ShippingPostalCode","d3414efb-9cd0-4835-8421-727dbd1f59f3","false","String","20.0","The post code part of the child account address","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"ShippingState","2cc0c9b1-d6fe-4f72-a843-bd43d69e4392","false","String","80.0","The state of the child account address","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"ShippingStreet","7999ebe6-13fe-4690-bab8-7d7ca5702de7","false","String","255.0","The street of the child account address","TEXTAREA","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"Name","328d14fa-32b0-49f4-8c02-e735518e12b6","false","String","255.0","The name of the child account","STRING","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"WhatId","eac659a9-74cd-459a-bdd3-e33d2d4ef312","false","REFERENCE","18.0","A lookup relationship that looks up to the appropriate account.","REFERENCE","1e9f3f31-265e-409e-97ba-3d854c5b4492"
"ActivityDate","b42f2e57-01fb-4500-b954-0a87f35ffec2","false","Date","0.0","","DATE","1618afca-14cf-48e0-b018-c0eb725ff23c"
"Description","ad8684a1-8a38-4b82-ad70-cf85c5cec63d","false","String","32000.0","","TEXTAREA","1618afca-14cf-48e0-b018-c0eb725ff23c"
"Subject","8e71380b-a983-43b8-9487-defacea9c33c","false","String","255.0","","COMBOBOX","1618afca-14cf-48e0-b018-c0eb725ff23c"
"WhatId","4a1a47c5-f291-43b6-b875-5d7bc6fe1682","false","REFERENCE","18.0","A lookup relationship that looks up to the appropriate account.","REFERENCE","1618afca-14cf-48e0-b018-c0eb725ff23c"
"agentforce1__Latest_Version__c","7ad8e12a-2a5d-499e-a097-c4f2da09ed00","false","REFERENCE","18.0","A lookup to the Schema_Instruction_Version__c object that is a child of this Scheme instruction.
This creates the link to the latest version, so we know what record to pickup.","REFERENCE","c1a2112c-d16f-45cc-bfb2-c88d964b6be7"
"Name","4ba9d7dd-cc4f-4cc2-a7ff-94fe8b421f75","false","String","80.0","Set this value to ""Default"", no other value is allowed.","STRING","c1a2112c-d16f-45cc-bfb2-c88d964b6be7"
"agentforce1__Is_Default__c","735b3e1f-3da9-4e4a-95f2-46e0126b14f8","false","Boolean","0.0","Set this value to TRUE","BOOLEAN","c1a2112c-d16f-45cc-bfb2-c88d964b6be7"
"agentforce1__Latest_Version__c","56f4c056-e77e-4237-96d8-7125493e8f39","false","REFERENCE","18.0","A lookup to the latest version of the schema mapping","REFERENCE","0d34f9fc-b510-4bd1-ba99-ce7a7cb0e590"
"Name","a16a994a-13e3-4bff-bdad-7504297962f9","false","String","80.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__External_Id__c","c44c0d46-9e0a-4b72-8d00-6ba6d4c32a4a","false","String","36.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Ignore_Triggers__c","719cdd13-88aa-4a5c-be27-411b1aac48da","false","Boolean","0.0","","BOOLEAN","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Order__c","28f80e49-42b2-4cc9-9990-9b6303bf6dd7","false","String","255.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Parent_sObjectType__c","3e81387b-a57c-4f9d-bf7a-b5b459ec2fc1","false","String","255.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Parent_sObject__c","8db3a1ad-304b-4d01-b02c-9ebf3f1c190d","false","REFERENCE","18.0","","REFERENCE","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Purpose_Description__c","6d8dbca2-d3d4-4d26-89c6-ae28c87388d0","false","String","1000.0","","TEXTAREA","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Relationship_Field__c","a7f7b953-50f2-4913-a369-6b82d136042a","false","String","255.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Relationship_Name__c","a782e6b3-1c6f-40e7-a12a-1cce312e6413","false","String","255.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__Schema_Mapping__c","6301f503-1b03-4793-a4a5-1783a407ee35","false","REFERENCE","18.0","","REFERENCE","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"agentforce1__sObjectType__c","25eb144f-39c1-4a1c-9ea9-4e97980c9142","false","String","255.0","","STRING","55ab3566-d293-4b66-8cd7-053fe339d5ee"
"Birthdate","21332735-e9c0-401f-affd-269174c71567","false","Date","0.0","The birthdate, make sure this is not any lower than 02/02/1900. If its lower make this the default date","DATE","75e4f5bf-c034-4efa-9702-44b4152446bb"
"Description","2a09c72a-81f7-4ab5-9d26-880f2b48970e","false","String","32000.0","Short description about this person","TEXTAREA","75e4f5bf-c034-4efa-9702-44b4152446bb"
"Email","124bc903-0239-4dd6-98b4-ef6d9276a458","false","String","80.0","The email address. Always add .example at the end as this is  a test","EMAIL","75e4f5bf-c034-4efa-9702-44b4152446bb"
"FirstName","82755fdd-d55c-467e-b222-222cf1491508","false","String","40.0","The first name","STRING","75e4f5bf-c034-4efa-9702-44b4152446bb"
"LastName","e16f94eb-7dbd-4bef-8b7f-7cfaa32380e7","false","String","80.0","The last name","STRING","75e4f5bf-c034-4efa-9702-44b4152446bb"
"Name","a762c188-000b-4b97-8f9f-2fec1d27cf86","false","String","80.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__External_Id__c","85620502-fb6d-41b0-b063-0d00ad8e36e4","false","String","36.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Ignore_Triggers__c","90646ad0-89e3-40b5-92ff-5fa6f87ca6c5","false","Boolean","0.0","","BOOLEAN","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Order__c","0fd51764-02c3-4f77-aa6a-7ac8cb6e9431","false","String","255.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Parent_sObjectType__c","9b030091-dcfc-4170-ba8a-a3456dbfd9a4","false","String","255.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Parent_sObject__c","9c875513-9fc6-46c5-8950-cc93ff678b80","false","REFERENCE","18.0","","REFERENCE","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Purpose_Description__c","04d0502e-7df6-48a5-a8c3-472326ae9bcf","false","String","1000.0","","TEXTAREA","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Relationship_Field__c","4949c65c-ac97-4671-bcaa-1cf4093b5ded","false","String","255.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Relationship_Name__c","daa381d5-1abb-45e1-9554-de14361c3535","false","String","255.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__Schema_Mapping__c","cadb8c18-3e13-471d-835a-2ea7653d1b1b","false","REFERENCE","18.0","","REFERENCE","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"agentforce1__sObjectType__c","f084d663-ddd2-42aa-b285-e719c5065bf2","false","String","255.0","","STRING","4b1d1346-4bb5-4d5c-858b-f42878175c34"
"AccountId","4246726f-da6d-47fc-a1c8-6c2a257d4f31","false","REFERENCE","18.0","A reference to the parent account. Populate with the @{refId}","REFERENCE","41e730f8-61f4-4b12-bccc-16d689105f0f"
"Description","cd7d6cfa-b10f-4099-b92d-d6a44cc39bfd","false","String","32000.0","A short description of what the request is","TEXTAREA","41e730f8-61f4-4b12-bccc-16d689105f0f"
"Status","3f189726-336f-4af9-8141-659381c58038","false","String","255.0","The status. Set this to New if you're unsure","PICKLIST","41e730f8-61f4-4b12-bccc-16d689105f0f"
"Subject","76734b31-1d29-4199-a312-0e23cc1475d7","false","String","255.0","The case subject","STRING","41e730f8-61f4-4b12-bccc-16d689105f0f"
"Name","f4021ab7-144f-41fc-95f3-11eb12038e15","false","String","80.0","","STRING","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__External_Id__c","8eb35f93-f9b3-4157-b4e2-dd1a7ff067e1","false","String","36.0","","STRING","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__Ignore_Triggers__c","8ca59be1-8a82-40c2-8948-90c060635e59","false","Boolean","0.0","","BOOLEAN","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__JSON_Type__c","a80d5f23-194c-41a5-980c-469b73dd25e5","false","String","255.0","","PICKLIST","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__Length__c","a5b800b0-57cc-4cdc-b0d4-2667ab0fd121","false","Number","0.0","","DOUBLE","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__Mapped_sObject__c","42bc48f7-174e-436d-b914-bd06ed825a0f","false","REFERENCE","18.0","","REFERENCE","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__Purpose_Description__c","96e214f1-3cbc-4503-b477-a039edcee9b3","false","String","1000.0","","TEXTAREA","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"agentforce1__Type__c","64d23f91-ec98-412b-bc21-17924ca5da96","false","String","255.0","","PICKLIST","47434d07-5b6d-4e8f-bab9-1d4fd43f6111"
"Name","ebe1ac4f-d030-4dce-bb05-496aa18df374","false","String","80.0","","STRING","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__External_Id__c","887787ed-4614-4023-b0bf-cc6f64d59220","false","String","36.0","","STRING","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__Ignore_Triggers__c","d31840fd-da50-4e58-93fa-b36b7312f3bc","false","Boolean","0.0","","BOOLEAN","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__JSON_Type__c","0498ffc7-6234-4376-8dba-611ce01a49b0","false","String","255.0","","PICKLIST","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__Length__c","1dfb4244-88a7-4495-874a-cb63efe842a9","false","Number","0.0","","DOUBLE","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__Mapped_sObject__c","72c273d2-b08a-4b3a-84ce-f399a575e57c","false","REFERENCE","18.0","","REFERENCE","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__Purpose_Description__c","c2c31eaf-bd1d-4462-8046-dc64175691ee","false","String","1000.0","","TEXTAREA","db662076-7f6b-4d9e-82eb-b94516c16100"
"agentforce1__Type__c","68a6f090-7f30-4ec4-bd68-477531fda5c3","false","String","255.0","","PICKLIST","db662076-7f6b-4d9e-82eb-b94516c16100"
"AnnualRevenue","29dc92d9-3a52-419a-9249-63e32bc94586","false","Number","0.0","The revenue the company makes. Make sure this does not exceed 100 million.","CURRENCY","53f389c3-ae48-4dc1-abcc-67d986793c79"
"BillingCity","846becf7-f673-4647-bc29-6c5024ee66af","false","String","40.0","The billing city.","STRING","53f389c3-ae48-4dc1-abcc-67d986793c79"
"BillingCountry","4761bbf6-0cb7-4707-a779-6b7f4b9c6cf8","false","String","80.0","The billing country.","STRING","53f389c3-ae48-4dc1-abcc-67d986793c79"
"BillingStreet","9cd94da6-678a-464a-9ebd-4eab7cbc32f6","false","String","255.0","The billing street.","TEXTAREA","53f389c3-ae48-4dc1-abcc-67d986793c79"
"Description","5dff0dcb-400b-41f6-98bf-5c2c4fa24df8","false","String","32000.0","The description of the account, in a few lines what they do","TEXTAREA","53f389c3-ae48-4dc1-abcc-67d986793c79"
"agentforce1__Step__c","9e5471f2-03ff-4811-aa40-571dd42a93d3","false","REFERENCE","18.0","A lookup to the parent step record. Populate with the parent refId","REFERENCE","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"Description","db88b3b4-14e1-453e-86fa-aa2204eb8d74","false","String","32000.0","A short case description","TEXTAREA","a2364d25-8d1d-40f7-be44-a785831436c9"
"Subject","886325f8-2487-41a6-ab8d-884085d05355","false","String","255.0","The subject for the case","STRING","a2364d25-8d1d-40f7-be44-a785831436c9"
"agentforce1__External_Id__c","8a8778bf-89e9-4d09-82ee-4e0b55b2d299","false","String","255.0","Extract the account number that is provided by the customer and put that number in this field. An example account number looks like:
ACC-00000000","STRING","cf1b8f54-3054-4eb8-8570-da7c1572a35f"
"ActivityDate","c218f2eb-25fe-4398-82d6-545d0aa6e187","false","Date","0.0","The date / time the action takes place","DATE","538dbc00-3cbc-4f4f-8706-69e008f733db"
"Description","478c3881-9290-478d-9ec7-59afb696cd07","false","String","32000.0","A description of the task, add enough detail but dont go overboard","TEXTAREA","538dbc00-3cbc-4f4f-8706-69e008f733db"
"Subject","530d590d-96c4-462f-931e-57bc24e8d858","false","String","255.0","A short subject what the task is about","COMBOBOX","538dbc00-3cbc-4f4f-8706-69e008f733db"
"Id","63189d99-c12c-4711-85dc-8aea21c8ff46","false","String","18.0","Map this to the input account Id, this is an 18 character salesforce id that will be specified in the prompt","ID","cf1b8f54-3054-4eb8-8570-da7c1572a35f"
"ContentDocumentId","b5c12ae0-2fc3-4cb6-ba64-45a4f4173f21","false","REFERENCE","18.0","Populate this field with the Content Document File Id from the input file of the prompt template. This is the Salesforce Id and not a refId.","REFERENCE","65c2991f-305d-49da-991c-44fc274f3f1e"
"agentforce1__Process__c","92a6cbae-af88-4413-afec-ed983ad23cc0","false","REFERENCE","18.0","A lookup field to the parent Process__c record. Apply the refId accordingly","REFERENCE","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"agentforce1__Next_Step__c","1bf29bc6-4202-4dbc-8e3e-1528c526a281","false","REFERENCE","18.0","The is the lookup reference to the next step in the process. Populate this field with the matching refId of the next step","REFERENCE","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Next_Step__c","a660602a-883c-40f9-86af-3a5b5f57a304","false","REFERENCE","18.0","The is the lookup reference to the next step in the process. Populate this field with the matching refId of the next step","REFERENCE","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"ActivityDate","afae50a8-ff83-47e9-9ff1-7632dc359f66","false","Date","0.0","Create the data one week from now","DATE","693a4e07-2ced-4654-8b2a-a15d31f36630"
"Description","5f387657-c35c-4fb2-9c6b-551d6015df83","false","String","32000.0","The task should be a process review task. Put a note in here to review the newly extracted process","TEXTAREA","693a4e07-2ced-4654-8b2a-a15d31f36630"
"Subject","de50b675-a3f8-4bea-a1af-6db2ddfe8d74","false","String","255.0","Fill this value with: Review Process Task + The name of the process","COMBOBOX","693a4e07-2ced-4654-8b2a-a15d31f36630"
"WhatId","70609f02-8790-444b-879f-b88b3061ea7a","false","REFERENCE","18.0","This is a lookup to the process. Populate this with the process RefId accordingly","REFERENCE","693a4e07-2ced-4654-8b2a-a15d31f36630"
"agentforce1__Reason_for_score__c","98d1d54a-6f6f-4c56-a3ad-94732ad6a960","false","String","32768.0","Put your reasoning in here on why you gave the score for the spam analysis","TEXTAREA","772ec251-c031-452e-96b8-ca1524f5c9c6"
"agentforce1__Spam_Probability_Score__c","52a6fece-7fcc-42f8-a6b6-cf2a4941b947","false","Number","0.0","Give a spam probability score between 1 and 10. Where 10 is most likely to be spam and 1 is not likely at all","DOUBLE","772ec251-c031-452e-96b8-ca1524f5c9c6"
"agentforce1__Status__c","8b856b9f-29df-4aa0-84f8-0fad5aa2ca3e","false","String","255.0","9 or 10 --> ""Passed""
6 or 7 or 8 --> ""Check Required""
5 or lower --> ""Failed""
Use these exact values","PICKLIST","772ec251-c031-452e-96b8-ca1524f5c9c6"
"Id","be5844ce-0635-42cf-ad1c-1df44fbeb23c","false","String","18.0","The Case Id, this is the input from the prompt template.","ID","44ef963e-1988-41a2-ad08-b2c8b4ceb334"
"ActivityDate","5cbf1aae-dcd9-4d7e-9968-28ff1b05c327","false","Date","0.0","Set this to 2 weeks from now","DATE","6c7cdd76-5e04-4bef-8764-7d92e891aaeb"
"Description","9883fe74-7c1b-45c1-9669-b78433f0c642","false","String","32000.0","Give a functional description","TEXTAREA","6c7cdd76-5e04-4bef-8764-7d92e891aaeb"
"Subject","0efd51d7-6cce-4717-b35a-8d0342a0726a","false","String","255.0","Give it a proper subject","COMBOBOX","6c7cdd76-5e04-4bef-8764-7d92e891aaeb"
"WhatId","dfed36f9-9cea-4e7b-ada5-bf280e014704","false","REFERENCE","18.0","Map this to the parent Account record","REFERENCE","6c7cdd76-5e04-4bef-8764-7d92e891aaeb"
"WhoId","aa1b6a18-05eb-4141-ad5c-db568f2b5f7a","false","REFERENCE","18.0","Link this to the contact","REFERENCE","5f6a7cf2-29ba-4850-968d-e1162594e4ee"
"Name","9b6e088e-2b0f-4427-9a28-4c5f8751ddae","false","String","80.0","The name of the product","STRING","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
